Trait;nom_MAELIA;plant_sem;annee_deb;id_operation;ordre_op;DATE;PROF;TYPE;DOSE;TEMPS
beauce_5_sa_000;BTH;ble;2019;PREPA;;13/09/2019;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2019;PREPA;2;13/09/2019;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2019;SEMIS;;05/10/2019;;;;
beauce_5_sa_000;BTH;ble;2019;FERTI_Min;1;25/03/2020;;urea;81.3;
beauce_5_sa_000;BTH;ble;2019;RECOLTE;;01/08/2020;;;;
beauce_5_sa_000;BTH;ble;2020;PREPA;;13/09/2020;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2020;PREPA;2;13/09/2020;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2020;SEMIS;;05/10/2020;;;;
beauce_5_sa_000;BTH;ble;2020;FERTI_Min;1;26/03/2021;;urea;81.3;
beauce_5_sa_000;BTH;ble;2020;RECOLTE;;02/08/2021;;;;
beauce_5_sa_000;BTH;ble;2021;PREPA;;13/09/2021;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2021;PREPA;2;13/09/2021;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2021;SEMIS;;05/10/2021;;;;
beauce_5_sa_000;BTH;ble;2021;FERTI_Min;1;26/03/2022;;urea;81.3;
beauce_5_sa_000;BTH;ble;2021;RECOLTE;;02/08/2022;;;;
beauce_5_sa_000;BTH;ble;2022;PREPA;;13/09/2022;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2022;PREPA;2;13/09/2022;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2022;SEMIS;;05/10/2022;;;;
beauce_5_sa_000;BTH;ble;2022;FERTI_Min;1;26/03/2023;;urea;81.3;
beauce_5_sa_000;BTH;ble;2022;RECOLTE;;02/08/2023;;;;
beauce_5_sa_000;BTH;ble;2023;PREPA;;13/09/2023;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2023;PREPA;2;13/09/2023;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2023;SEMIS;;05/10/2023;;;;
beauce_5_sa_000;BTH;ble;2023;FERTI_Min;1;25/03/2024;;urea;81.3;
beauce_5_sa_000;BTH;ble;2023;RECOLTE;;01/08/2024;;;;
beauce_5_sa_000;BTH;ble;2024;PREPA;;13/09/2024;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2024;PREPA;2;13/09/2024;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2024;SEMIS;;05/10/2024;;;;
beauce_5_sa_000;BTH;ble;2024;FERTI_Min;1;26/03/2025;;urea;81.3;
beauce_5_sa_000;BTH;ble;2024;RECOLTE;;02/08/2025;;;;
beauce_5_sa_000;BTH;ble;2025;PREPA;;13/09/2025;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2025;PREPA;2;13/09/2025;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2025;SEMIS;;05/10/2025;;;;
beauce_5_sa_000;BTH;ble;2025;FERTI_Min;1;26/03/2026;;urea;81.3;
beauce_5_sa_000;BTH;ble;2025;RECOLTE;;02/08/2026;;;;
beauce_5_sa_000;BTH;ble;2026;PREPA;;13/09/2026;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2026;PREPA;2;13/09/2026;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2026;SEMIS;;05/10/2026;;;;
beauce_5_sa_000;BTH;ble;2026;FERTI_Min;1;26/03/2027;;urea;81.3;
beauce_5_sa_000;BTH;ble;2026;RECOLTE;;02/08/2027;;;;
beauce_5_sa_000;BTH;ble;2027;PREPA;;13/09/2027;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2027;PREPA;2;13/09/2027;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2027;SEMIS;;05/10/2027;;;;
beauce_5_sa_000;BTH;ble;2027;FERTI_Min;1;25/03/2028;;urea;81.3;
beauce_5_sa_000;BTH;ble;2027;RECOLTE;;01/08/2028;;;;
beauce_5_sa_000;BTH;ble;2028;PREPA;;13/09/2028;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2028;PREPA;2;13/09/2028;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2028;SEMIS;;05/10/2028;;;;
beauce_5_sa_000;BTH;ble;2028;FERTI_Min;1;26/03/2029;;urea;81.3;
beauce_5_sa_000;BTH;ble;2028;RECOLTE;;02/08/2029;;;;
beauce_5_sa_000;BTH;ble;2029;PREPA;;13/09/2029;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2029;PREPA;2;13/09/2029;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2029;SEMIS;;05/10/2029;;;;
beauce_5_sa_000;BTH;ble;2029;FERTI_Min;1;26/03/2030;;urea;81.3;
beauce_5_sa_000;BTH;ble;2029;RECOLTE;;02/08/2030;;;;
beauce_5_sa_000;BTH;ble;2030;PREPA;;13/09/2030;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2030;PREPA;2;13/09/2030;10;Preparation du lit de semence;;
beauce_5_sa_000;BTH;ble;2030;SEMIS;;05/10/2030;;;;
beauce_5_sa_000;BTH;ble;2030;FERTI_Min;1;26/03/2031;;urea;81.3;
beauce_5_sa_000;BTH;ble;2030;RECOLTE;;02/08/2031;;;;
beauce_5_sa_001;BTH;ble;2019;SEMIS;;19/09/2019;;;;
beauce_5_sa_001;BTH;ble;2019;RECOLTE;;13/08/2020;;;;
beauce_5_sa_001;BTH;ble;2020;SEMIS;;19/09/2020;;;;
beauce_5_sa_001;BTH;ble;2020;RECOLTE;;14/08/2021;;;;
beauce_5_sa_001;BTH;ble;2021;SEMIS;;19/09/2021;;;;
beauce_5_sa_001;BTH;ble;2021;RECOLTE;;14/08/2022;;;;
beauce_5_sa_001;BTH;ble;2022;SEMIS;;19/09/2022;;;;
beauce_5_sa_001;BTH;ble;2022;RECOLTE;;14/08/2023;;;;
